Algoritmo,Tamanho do número,Número primo gerado,Tempo para gerar
Miller-Rabin,40 bits,365774508079,3 ms
Miller-Rabin,40 bits,126512746331,5 ms
Miller-Rabin,40 bits,19271223571,0 ms
Miller-Rabin,40 bits,299258479469,4 ms
Miller-Rabin,40 bits,145057273939,13 ms
Miller-Rabin,40 bits,266348668661,2 ms
Miller-Rabin,40 bits,941393650927,4 ms
Miller-Rabin,40 bits,177886266427,16 ms
Miller-Rabin,40 bits,160331598359,35 ms
Miller-Rabin,40 bits,999197831477,16 ms
Solovay-Strassem,40 bits,365774508079,3 ms
Solovay-Strassem,40 bits,126512746331,5 ms
Solovay-Strassem,40 bits,19271223571,0 ms
Solovay-Strassem,40 bits,299258479469,4 ms
Solovay-Strassem,40 bits,12659135233,10 ms
Solovay-Strassem,40 bits,266348668661,2 ms
Solovay-Strassem,40 bits,941393650927,6 ms
Solovay-Strassem,40 bits,177886266427,17 ms
Solovay-Strassem,40 bits,714677827537,38 ms
Solovay-Strassem,40 bits,160331598359,5 ms
Miller-Rabin,56 bits,8360333047452251,48 ms
Miller-Rabin,56 bits,5750357569076503,5 ms
Miller-Rabin,56 bits,28271269352470253,25 ms
Miller-Rabin,56 bits,9243160117597387,2 ms
Miller-Rabin,56 bits,12150341373949237,1 ms
Miller-Rabin,56 bits,55134739969086157,50 ms
Miller-Rabin,56 bits,28274342633940107,47 ms
Miller-Rabin,56 bits,35697912764085491,1 ms
Miller-Rabin,56 bits,8187195754095847,32 ms
Miller-Rabin,56 bits,56077015600168319,5 ms
Solovay-Strassem,56 bits,21871149559341053,8 ms
Solovay-Strassem,56 bits,4281626392125521,19 ms
Solovay-Strassem,56 bits,232151541211129,17 ms
Solovay-Strassem,56 bits,8360333047452251,33 ms
Solovay-Strassem,56 bits,5750357569076503,7 ms
Solovay-Strassem,56 bits,16848225203334743,6 ms
Solovay-Strassem,56 bits,68483268576648467,23 ms
Solovay-Strassem,56 bits,48196223938434241,36 ms
Solovay-Strassem,56 bits,7112164663459433,11 ms
Solovay-Strassem,56 bits,55134739969086157,32 ms
Miller-Rabin,80 bits,60337013818449840271931,15 ms
Miller-Rabin,80 bits,4123810882478689424899,11 ms
Miller-Rabin,80 bits,504929367921399128606783,34 ms
Miller-Rabin,80 bits,309362880254730761744903,36 ms
Miller-Rabin,80 bits,374065966349578831468559,2 ms
Miller-Rabin,80 bits,743435293445235845290069,12 ms
Miller-Rabin,80 bits,616567623273934517399059,1 ms
Miller-Rabin,80 bits,18412121739843020489623,14 ms
Miller-Rabin,80 bits,202002518588199194097647,59 ms
Miller-Rabin,80 bits,1025657261894492850345379,2 ms
Solovay-Strassem,80 bits,202553791988037145358789,17 ms
Solovay-Strassem,80 bits,281174774925393334174169,28 ms
Solovay-Strassem,80 bits,90340750612875761618671,38 ms
Solovay-Strassem,80 bits,140521633384191718737721,38 ms
Solovay-Strassem,80 bits,123471074988347731480519,1 ms
Solovay-Strassem,80 bits,232684933514131998439171,32 ms
Solovay-Strassem,80 bits,271903548719424890816627,0 ms
Solovay-Strassem,80 bits,29089635815151527763031,30 ms
Solovay-Strassem,80 bits,925630776792936131302103,45 ms
Solovay-Strassem,80 bits,164519896079319116363459,18 ms
Miller-Rabin,128 bits,161739297567271342676979157483237412731,0 ms
Miller-Rabin,128 bits,66526043339254016188781237022152218639,8 ms
Miller-Rabin,128 bits,11613813597521688036231320419736493061,0 ms
Miller-Rabin,128 bits,118209952253021886771174108852211478063,23 ms
Miller-Rabin,128 bits,158580053152683616811314803328068374941,5 ms
Miller-Rabin,128 bits,114949601899373491894296007695435465947,108 ms
Miller-Rabin,128 bits,338734348288508492484713727221320324661,10 ms
Miller-Rabin,128 bits,95666582621180264429425667643254240479,8 ms
Miller-Rabin,128 bits,189125079285224538609792313837986249487,1 ms
Miller-Rabin,128 bits,52381026212924705316903583468772006399,17 ms
Solovay-Strassem,128 bits,37397626834038379616674346303427386969,3 ms
Solovay-Strassem,128 bits,11580829912885849385862568624151824619,9 ms
Solovay-Strassem,128 bits,113954837115616342789055313965699861201,19 ms
Solovay-Strassem,128 bits,55348582495398493227796678310180982223,20 ms
Solovay-Strassem,128 bits,28781805089736281008569860100887081773,41 ms
Solovay-Strassem,128 bits,281449998878572567704365886428981086021,19 ms
Solovay-Strassem,128 bits,34289185944226780765329402758524023221,57 ms
Solovay-Strassem,128 bits,92985500386065791794962404806374953453,8 ms
Solovay-Strassem,128 bits,196966491670414087182172230737704368889,4 ms
Solovay-Strassem,128 bits,756245067141147428237017085281607741,27 ms
Miller-Rabin,168 bits,179638172020699496441866700842659370101972021341501,113 ms
Miller-Rabin,168 bits,38938163550908663538371273721181700231802920756011,25 ms
Miller-Rabin,168 bits,72157296386937356294863290483182950637854540572797,32 ms
Miller-Rabin,168 bits,144139229001759518013455184998867514803799432313919,68 ms
Miller-Rabin,168 bits,151228294938446076771310163174969458150584342213973,40 ms
Miller-Rabin,168 bits,52209614007010100045205700690924328814339807279331,29 ms
Miller-Rabin,168 bits,87640891138150260856131220730548456849805482927261,55 ms
Miller-Rabin,168 bits,145658215782929118109709140307154380476198146245171,124 ms
Miller-Rabin,168 bits,243783290028291071223650387775857089836664229654551,140 ms
Miller-Rabin,168 bits,338206479859178464790163622155946516468645999465981,23 ms
Solovay-Strassem,168 bits,152563288452769823854013992420069949358464866501469,19 ms
Solovay-Strassem,168 bits,90386716743234813196963190348432505508528638736987,12 ms
Solovay-Strassem,168 bits,80652223702117841994344456520861015958549771177807,13 ms
Solovay-Strassem,168 bits,40609404051732060943430663928821266818328396054337,24 ms
Solovay-Strassem,168 bits,179638172020699496441866700842659370101972021341501,95 ms
Solovay-Strassem,168 bits,90633755398259535234594866717959227424814000971351,0 ms
Solovay-Strassem,168 bits,243105860379850086493527742823587353384041197730219,55 ms
Solovay-Strassem,168 bits,50276312479491695810511889890309511079427603159829,12 ms
Solovay-Strassem,168 bits,149220855251559038204497141986973654590171952021763,45 ms
Solovay-Strassem,168 bits,91496329883030879661713814132469573137242480265793,127 ms
Miller-Rabin,224 bits,10434436411214434300978091970416888048560374868860236860665199754707,53 ms
Miller-Rabin,224 bits,243425272464508009072049462353215090912089815881590936263265123939,31 ms
Miller-Rabin,224 bits,110425564382431601059396887875681074177358554929234022253256324443,149 ms
Miller-Rabin,224 bits,8004614631559642231145441551777420382558684515502658802807640022191,19 ms
Miller-Rabin,224 bits,11134673793959550685307739338832111983152934110750889479330627493839,52 ms
Miller-Rabin,224 bits,3330443063339986169158707728619197907599101624088537172881774972293,17 ms
Miller-Rabin,224 bits,10690935217326307445709746503441140388668989725848473691685316784047,46 ms
Miller-Rabin,224 bits,10448682477571018802919739051319113322519268931205991167854759295963,296 ms
Miller-Rabin,224 bits,3034474456201963447084075730222639744803321702544868126585994954261,225 ms
Miller-Rabin,224 bits,12996147139531763900159654238262578331602233370804134031404526895151,21 ms
Solovay-Strassem,224 bits,4189261068039921744838030058000469482562007537892650540279477587839,141 ms
Solovay-Strassem,224 bits,7752906442997184721752132807356978698027342356571631738377864019237,12 ms
Solovay-Strassem,224 bits,8446680827456523051306233622172322884161266215534188704477656122821,29 ms
Solovay-Strassem,224 bits,8122611853997652105471143123587870978351080053811479482142720745763,93 ms
Solovay-Strassem,224 bits,12590877250805111852683445263883107750167846147094009971994376235379,313 ms
Solovay-Strassem,224 bits,3011147049266829003901362236081020361183378441914223797004759525189,178 ms
Solovay-Strassem,224 bits,21713217247039525224279940474510588369236500247265557438744456199267,229 ms
Solovay-Strassem,224 bits,19881071555476532867179061797708342747365635306036354294016639040519,123 ms
Solovay-Strassem,224 bits,13543479171389979516091846170157553878655038172186496201480739131859,126 ms
