Algoritmo,Tamanho do número,Tempo para gerar
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Park-Miller,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
Xorshift,40 bits,0 ms
